Date	Day	Start time	End time	Total time
03/01/2016	Sunday	08:50
04/01/2016	Monday	06:00
05/01/2016	Tuesday	05:59
05/01/2016	Tuesday	06:30	07:20	00:50
06/01/2016	Wednesday	06:01
07/01/2016	Thursday	05:59	06:43	00:44
08/01/2016	Friday	06:05	06:50	00:45
08/01/2016	Friday	05:59	06:18	00:19
08/01/2016	Friday	17:00	17:27	00:27
09/01/2016	Saturday	08:15	09:33	01:18
10/01/2016	Sunday	07:25	07:58	00:33
11/01/2016	Monday	06:00	06:23	00:23
12/01/2016	Tuesday	06:03	06:38	00:35
13/01/2016	Wednesday	06:03	06:35	00:32
14/01/2016	Thursday	06:00	06:53	00:53
15/01/2016	Friday	06:00	06:37	00:37
16/01/2016	Saturday	06:43	08:08	01:25
16/01/2016	Saturday	16:00	16:16	00:16
17/01/2016	Sunday	06:56	07:40	00:44
17/01/2016	Sunday	16:00	16:15	00:15
18/01/2016	Monday	06:00	06:19	00:19
18/01/2016	Monday	17:00	17:17	00:17
19/01/2016	Tuesday	06:00	06:28	00:28
19/01/2016	Tuesday	18:00
20/01/2016	Wednesday	05:59	06:43	00:44
20/01/2016	Wednesday	18:00	18:15	00:15
21/01/2016	Thursday	06:24	06:46	00:22
21/01/2016	Thursday	10:00	10:15	00:15
22/01/2016	Friday	06:12	06:36	00:24
23/01/2016	Saturday	08:51	09:18	00:27
24/01/2016	Sunday	07:24	08:00	00:36
25/01/2016	Monday	06:12	06:34	00:22
25/01/2016	Monday	18:00	18:16	00:16
26/01/2016	Tuesday	06:08	06:49	00:41
26/01/2016	Tuesday	12:33	12:49	00:16
27/01/2016	Wednesday	06:13	06:45	00:32
28/01/2016	Thursday	06:21
28/01/2016	Thursday	18:00	18:17	00:17
29/01/2016	Friday	06:34	06:55	00:21
29/01/2016	Friday	18:00	18:16	00:16
30/01/2016	Saturday	06:42	07:16	00:34
31/01/2016	Sunday	07:24	07:52	00:28
01/02/2016	Monday	05:04	05:28	00:24
02/02/2016	Tuesday	06:00	06:39	00:39
02/02/2016	Tuesday	18:10	18:33	00:23
03/02/2016	Wednesday	06:00	06:16	00:16
04/02/2016	Thursday	06:03	06:31	00:28
06/02/2016	Saturday	09:12	09:44	00:32
07/02/2016	Sunday	08:47
07/02/2016	Sunday	17:00	17:24	00:24
09/02/2016	Tuesday	06:00	06:19	00:19
10/02/2016	Wednesday	06:03	06:43	00:40
11/02/2016	Thursday	06:02	06:41	00:39
12/02/2016	Friday	06:02	06:32	00:30
13/02/2016	Saturday	09:49
13/02/2016	Saturday	17:03	17:20	00:17
14/02/2016	Sunday	08:14	08:35	00:21
15/02/2016	Monday	06:30	06:50	00:20
16/02/2016	Tuesday	06:17	06:30	00:13
17/02/2016	Wednesday	06:17	06:43	00:26
18/02/2016	Thursday	06:22	06:49	00:27
19/02/2016	Friday	06:45	07:20	00:35
20/02/2016	Saturday	06:42	07:49	01:07
22/02/2016	Monday	06:03	06:30	00:27
22/02/2016	Monday	06:30	06:51	00:21
23/02/2016	Tuesday	06:20	06:54	00:34
24/02/2016	Wednesday	06:36	06:53	00:17
25/02/2016	Thursday	07:34	08:13	00:39
26/02/2016	Friday	07:24	08:08	00:44
27/02/2016	Saturday	03:37	04:00	00:23
27/02/2016	Saturday	08:46
28/02/2016	Sunday	08:13
29/02/2016	Monday	08:00
02/03/2016	Wednesday	08:51	10:09	01:18
03/03/2016	Thursday	06:00	06:34	00:34
03/03/2016	Thursday	19:00	19:34	00:34
04/03/2016	Friday	06:00	06:40	00:40
05/03/2016	Saturday	18:47	18:55	00:08
06/03/2016	Sunday	07:33	08:27	00:54
07/03/2016	Monday	06:02	06:15	00:13
08/03/2016	Tuesday	06:05	06:33	00:28
08/03/2016	Tuesday	07:40	07:50	00:10
09/03/2016	Wednesday	05:59	06:38	00:39
10/03/2016	Thursday	06:05	06:43	00:38
11/03/2016	Friday	06:30	06:41	00:11
12/03/2016	Saturday	07:16	07:41	00:25
13/03/2016	Sunday	08:55	09:10	00:15
14/03/2016	Monday	06:08	06:46	00:38
15/03/2016	Tuesday	06:05	06:34	00:29
16/03/2016	Wednesday	06:13	06:44	00:31
17/03/2016	Thursday	06:20	06:50	00:30
18/03/2016	Friday	06:48	07:19	00:31
19/03/2016	Saturday	09:08	09:22	00:14
20/03/2016	Sunday	06:59	07:20	00:21
21/03/2016	Monday	06:04	06:45	00:41
22/03/2016	Tuesday	06:10	07:07	00:57
23/03/2016	Wednesday	06:25	06:56	00:31
24/03/2016	Thursday	06:38	06:50	00:12
25/03/2016	Friday	08:15
26/03/2016	Saturday	07:56	08:49	00:53
27/03/2016	Sunday	07:13	07:32	00:19
28/03/2016	Monday	06:00	07:20	01:20
29/03/2016	Tuesday	08:04	08:35	00:31
30/03/2016	Wednesday	06:11	06:40	00:29
31/03/2016	Thursday	06:00	06:21	00:21
01/04/2016	Friday	06:21	06:57	00:36
02/04/2016	Saturday	07:35	07:55	00:20
03/04/2016	Sunday	07:04	07:49	00:45
04/04/2016	Monday	05:59	06:16	00:17
06/04/2016	Wednesday	06:04	06:43	00:39
07/04/2016	Thursday	06:20	06:38	00:18
08/04/2016	Friday	06:38	06:44	00:06
09/04/2016	Saturday	08:03	08:47	00:44
10/04/2016	Sunday	08:13	08:54	00:41
11/04/2016	Monday	05:59	06:24	00:25
12/04/2016	Tuesday	06:15	06:30	00:15
13/04/2016	Wednesday	06:26	06:52	00:26
14/04/2016	Thursday	06:38	06:50	00:12
15/04/2016	Friday	06:29	06:43	00:14
16/04/2016	Saturday	09:04	09:51	00:47
17/04/2016	Sunday	06:30	06:41	00:11
18/04/2016	Monday	05:57	06:13	00:16
19/04/2016	Tuesday	06:26	06:44	00:18
05/05/2016	Thursday	06:00	06:19	00:19
