ID	Note	Start Date	End Date	Type	Source	Page
	\"The blackest despair that can take hold of any society is the fear that living honestly is futile\" -- Corrado Alvaro				Blood Brotherhoods	p-9
	Taurianova = Radicena + Iatrinoli (from 1928 onwards)	1928		Event	Blood Brotherhoods	pp-2--1
	\"Carcagnosso became a devotee of the Archangel Michael [...] founded the 'ndrangheta\" -- one of three Spanish knights who built rules of the Honoured Society over \"twenty-nine years\" in Favignana's many caves and grottoes -- 'ndrangheta's official account of its own birth				Blood Brotherhoods	pp1-2
	ndrangheta means \"manliness\" or \"courage\"				Blood Brotherhoods	p5
	omerta-umilta + honour => shared traits between the mafias				Blood Brotherhoods	p6
	Favignana, once a penal colony				Blood Brotherhoods	p6
	15 August 2007, Duisberg, Da Bruno restaurant -- 2 killers, 54 shots, 9mm pistols, 6 young men \"of Italian\" origin, coup de grace	20070815		Event	Blood Brotherhoods	p9
	German police found partly burned image of the Archangel Michael in celebrant's pocket in Duisberg				Blood Brotherhoods	p16
	victims in Duisberg killings: Pelle-Vottari 'ndrina; perpetrators: Strangio-Nirta 'ndrina				Blood Brotherhoods	p26
	ndrangheta colonies in 6 different German cities, Switzerland, Canada and Australia. Also has presence in Belgium, Holland, Great Britain, Portugal, Spain, Argentina, Brazil, Chile, Colombia, Morocco, Turkey, Venezuela and the USA				Blood Brotherhoods	p10
	nd \"the youngest\" and \"has come furthest to find recent successes\"				Blood Brotherhoods	p10
	\"Calabrians have the strongest sense of omerta.\"				Blood Brotherhoods	p9
	Blood and the magic of ritual				Blood Brotherhoods	pp10-11
	Antonia Zagari -- born in 1st Jan 1954, firstborn to Giacomo, developed a phobia of blood	19540101		Event	Blood Brotherhoods	p11
	Ritual: baby touches either key or knife first -- either a sbirro (a cop or slave to the law) or a man to live/die by the code of honour				Blood Brotherhoods	p11
	\"half-in half-out\"				Blood Brotherhoods	p12
	\"delicacy of speech\"				Blood Brotherhoods	p12
	Rules and Social Prescriptions, like a \"catechism\"				Blood Brotherhoods	pp14-16
	\"there is a fraught relationship between the gangland rulebook and the expediency determined by the sheer chaos of criminal life\"				Blood Brotherhoods	p22
	\"was a consensus [...] 'ndrangheta is a federal organisation [...] loose fellowship of local gangs\" but July 2010 saw arrest of Domenico Oppedisano \"who, investigators claim, was elected to the highest office in August 2009\" -- Operation Crime -- alleging Oppedisano is capocrimine, a master of ceremonies -- relating to procedure and politics rather than business				Blood Brotherhoods	pp22-23
	Grimaldi, salumiere, beheading by shotgun, Taurianova	1991			Mafia Republic	p4-5
	Calabria as failed state -- US Consul General's secret dispatch (leaked on Wikileaks)	2008			Mafia Republic	pp6-7
	ndrangheta -- Germany, Canada, Australia				Mafia Republic	p7
	the name 'ndrangheta	1955			Mafia Republic	p9
	the name stems from 'ndrine and maladrina				Mafia Republic	p39
	omerta, capibastone (\"chief cudgels\")				Mafia Republic	p38
	important trials 1932 -- The Montalbano Honoured Society, The Honoured Society, The Society of the Buckle	1932			Mafia Republic	p38, p70
